anio,fecha,ambito,turistas,temporal_fecha,..anio_fecha
2016,2016-11-30,Internacionales,262558,2016-11,2016
2016,2016-12-31,Nacionales,902847,2016-12,2016
2016,2016-12-31,Internacionales,257671,2016-12,2016
2017,2017-01-31,Nacionales,728584.2241622985,2017-01,2017
2017,2017-01-31,Internacionales,208052.47817918466,2017-01,2017
2017,2017-02-28,Nacionales,707054.2131575082,2017-02,2017
2017,2017-02-28,Internacionales,197291.33866529044,2017-02,2017
2017,2017-03-31,Nacionales,916922.7481246055,2017-03,2017
2017,2017-03-31,Internacionales,256013.55785205014,2017-03,2017
2017,2017-04-30,Nacionales,955293.6771722878,2017-04,2017
2017,2017-04-30,Internacionales,221741.3540960503,2017-04,2017
2017,2017-05-31,Nacionales,879485.0298687977,2017-05,2017
2017,2017-05-31,Internacionales,248257.3713786102,2017-05,2017
2017,2017-06-30,Nacionales,804509.495496102,2017-06,2017
2017,2017-06-30,Internacionales,238386.48853780836,2017-06,2017
2017,2017-07-31,Nacionales,947626.8926475048,2017-07,2017
2017,2017-07-31,Internacionales,268825.54474291723,2017-07,2017
2017,2017-08-31,Nacionales,884190.015969676,2017-08,2017
2017,2017-08-31,Internacionales,317965.39516055124,2017-08,2017
2017,2017-09-30,Nacionales,930901.7081521816,2017-09,2017
2017,2017-09-30,Internacionales,272532.7110160519,2017-09,2017
2017,2017-10-31,Nacionales,971230.5960216434,2017-10,2017
2017,2017-10-31,Internacionales,324450.3744289734,2017-10,2017
2017,2017-11-30,Nacionales,1005192.3654771978,2017-11,2017
2017,2017-11-30,Internacionales,286735.86217825586,2017-11,2017
2017,2017-12-31,Nacionales,902228.3876091411,2017-12,2017
2017,2017-12-31,Internacionales,273387.15762838477,2017-12,2017
2018,2018-01-31,Nacionales,744773,2018-01,2018
2018,2018-01-31,Internacionales,212884,2018-01,2018
2018,2018-02-28,Nacionales,722420,2018-02,2018
2018,2018-02-28,Internacionales,201832,2018-02,2018
2018,2018-03-31,Nacionales,937161,2018-03,2018
2018,2018-03-31,Internacionales,261945,2018-03,2018
2018,2018-04-30,Nacionales,976584,2018-04,2018
2018,2018-04-30,Internacionales,226956,2018-04,2018
2018,2018-05-31,Nacionales,897407,2018-05,2018
2018,2018-05-31,Internacionales,253473,2018-05,2018
2018,2018-06-30,Nacionales,818433,2018-06,2018
2018,2018-06-30,Internacionales,242413,2018-06,2018
2018,2018-07-31,Nacionales,963571,2018-07,2018
2018,2018-07-31,Internacionales,273331,2018-07,2018
2018,2018-08-31,Nacionales,899259,2018-08,2018
2018,2018-08-31,Internacionales,323014,2018-08,2018
2018,2018-09-30,Nacionales,947217,2018-09,2018
2018,2018-09-30,Internacionales,276256,2018-09,2018
2018,2018-10-31,Nacionales,983081,2018-10,2018
2018,2018-10-31,Internacionales,327740,2018-10,2018
2018,2018-11-30,Nacionales,1015811,2018-11,2018
2018,2018-11-30,Internacionales,289046,2018-11,2018
2018,2018-12-31,Nacionales,912585,2018-12,2018
2018,2018-12-31,Internacionales,275017,2018-12,2018
2019,2019-01-31,Nacionales,729768,2019-01,2019
