NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Holiday Inn Ciudad de México Trade Center,Avenida Revolución 583,San Pedro de los Pinos,Benito Juárez,3800,5 Estrellas,19.387977,-99.186693
Holiday Inn Express México Reforma,Avenida Paseo de la Reforma 208 ,Juárez,Cuauhtémoc,6600,5 Estrellas,19.429415,-99.161648
Holiday Inn México Buenavista,Mariano Azuela 12,Santa María la Ribera,Cuauhtémoc,6400,5 Estrellas,19.44257,-99.155366
Holiday Inn México Coyoacán,Calzada de Tlalpan 1507,Portales Sur,Benito Juárez,3300,5 Estrellas,19.363234,-99.14314
Holiday Inn México Dalí Aeropuerto,Viaducto Río de la Piedad 260,Pueblo de la Magdalena Mixihuca,Venustiano Carranza,15860,5 Estrellas,19.403736,-99.135886
Holiday Inn Plaza Universidad,Parroquia 1056,Santa Cruz Atoyac,Benito Juárez,3310,5 Estrellas,19.368103,-99.162977
Hotel Bárcelo México Reforma,Paseo de la Reforma 1,Tabacalera,Cuauhtémoc,6030,5 Estrellas,19.435269,-99.151026
Hotel Benidorm,Frontera 217,Roma Norte,Cuauhtémoc,6700,5 Estrellas,19.41448,-99.154822
Hotel Beverly,Nueva York 301,Nápoles,Benito Juárez,3810,5 Estrellas,19.386983,-99.17539
Hotel Camino Real Aeropuerto,Fundidora de Monterrey 89,Peñón de los Baños,Venustiano Carranza,15520,5 Estrellas,19.472549,-99.128982
Hotel Camino Real Pedregal México,Periférico Sur 3647,Héroes de Padierna,Magdalena Contreras,10700,5 Estrellas,19.314245,-99.220997
Hotel Camino Real Polanco México,Calzada General Mariano Escobedo 700,Anzures,Miguel Hidalgo,11590,5 Estrellas,19.427734,-99.179174
Hotel Casa Blanca,Lafragua 7,Tabacalera,Cuauhtémoc,6030,5 Estrellas,19.434686,-99.153853
Hotel Century Zona Rosa,Liverpool 152,Juárez,Cuauhtémoc,6600,5 Estrellas,19.423845,-99.164772
Hotel Condesa DF,Avenida Veracruz 102,Condesa,Cuauhtémoc,6700,5 Estrellas,19.416233,-99.172078
Hotel Courtyard by Marriott Revolución,Avenida Revolución 333,Tacubaya,Miguel Hidalgo,11870,5 Estrellas,19.396547,-99.185578
Hotel Del Prado,Avenida Marina Nacional 399,Verónica Anzures,Miguel Hidalgo,11300,5 Estrellas,19.437328,-99.171891
Hotel El Parque México,Avenida México 133,Hipódromo,Cuauhtémoc,6100,5 Estrellas,19.410776,-99.169033
Hotel Emporio,Paseo de la Reforma 124,Juárez,Cuauhtémoc,6600,5 Estrellas,19.43153,-99.156937
Hotel Fiesta Americana Grand Chapultepec,Calzada General Mariano Escobedo 756,Anzures,Miguel Hidalgo,11590,5 Estrellas,19.425162,-99.178234
Hotel Fiesta Americana Reforma,Paseo de la Reforma 80,Juárez,Cuauhtémoc,6600,5 Estrellas,19.447044,-99.136542
Hotel Fiesta Inn Periférico Sur,Periférico Sur 5530,Pedregal de Carrasco,Coyoacán,4700,5 Estrellas,19.302367,-99.165893
Hotel Finisterre,Calzada de Tlalpan 2043,Parque San Andrés,Coyoacán,4040,5 Estrellas,19.344296,-99.144889
Hotel Four Points by Sheraton México City,Avenida Álvaro Obregón 38,Roma Norte,Cuauhtémoc,6700,5 Estrellas,19.41861,-99.156442
Hotel Galería Plaza Reforma,Hamburgo 195,Juárez,Cuauhtémoc,6500,5 Estrellas,19.424992,-99.167836
Hotel Geneve Ciudad de México,Londres 130,Juárez,Cuauhtémoc,6600,5 Estrellas,19.425274,-99.164195
Hotel Habita,Avenida Presidente Masaryk  201,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.431757,-99.189934
Hotel Hilton Aeropuerto Ciudad de México,Avenida Capitán Carlos León sin número nueva terminal aérea piso 3,Peñón de los Baños,Venustiano Carranza,15520,5 Estrellas,19.436042,-99.081761
Hotel Hippodrome,Avenida México 188,Hipódromo,Cuauhtémoc,6100,5 Estrellas,19.413666,-99.167999
Hotel Holiday Inn & Suites México Zona Rosa,Londres 15,Juárez,Cuauhtémoc,6600,5 Estrellas,19.428485,-99.158087
Hotel Imperial Reforma,Paseo de la Reforma 64,Juárez,Cuauhtémoc,6600,5 Estrellas,19.433268,-99.153607
Hotel La Casona,Durango 280,Roma Norte,Cuauhtémoc,6700,5 Estrellas,19.418827,-99.170675
Hotel Las Alcobas,Avenida Presidente Masaryk 390  ,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.431612,-99.197872
Hotel Marquis Reforma,Paseo de la Reforma 465,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.424942,-99.173667
Hotel Novit,Avenida Insurgentes Sur 635,Nápoles,Benito Juárez,3810,5 Estrellas,19.395966,-99.171922
Hotel Park Nilo,Río Nilo 71,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.427136,-99.171322
Hotel Pedregal Palace,Anillo Periférico Sur 3487,San Jerónimo Lídice,Magdalena Contreras,10200,5 Estrellas,19.320619,-99.221607
Hotel Presidente Inter-Continental Mexico City,Campos Elíseos 218,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.427263,-99.193652
Hotel Presidente Inter-Continental Santa Fe,Juan Salvador Agraz 97,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348,5 Estrellas,19.358101,-99.278005
Hotel Real del Sur,Avenida División del Norte 3640,El Reloj,Coyoacán,4640,5 Estrellas,19.320626,-99.138415
Hotel Residencia Polanco,Newton 272,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.436898,-99.184995
Hotel Royal Pedregal,Avenida Periférico Sur 4363,Jardines en la Montaña,Tlalpan,14210,5 Estrellas,19.303327,-99.200284
Hotel Royal Reforma,Amberes 78,Juárez,Cuauhtémoc,6600,5 Estrellas,19.423929,-99.164242
Hotel Sevilla Palace,Paseo de la Reforma 105,Tabacalera,Cuauhtémoc,6030,5 Estrellas,19.432804,-99.156278
Hotel Stadia Suites Santa Fe,Juan Salvador Agraz 60,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348,5 Estrellas,19.358963,-99.277283
Hotel Suites Reforma,Paseo de la Reforma 374,Juárez,Cuauhtémoc,6600,5 Estrellas,19.425679,-99.169072
Hotel W México City,Campos Elíseos 252,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.427271,-99.1954
Hotel Zócalo Central,Avenida 5 de Mayo 61,Centro (Área 1),Cuauhtémoc,6000,5 Estrellas,19.434011,-99.134362
Hyatt Regency México City,Campos Elíseos 204,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.427437,-99.192843
Isaaya Hotel Boutique,Dakota 155,Nápoles,Benito Juárez,3810,5 Estrellas,19.394192,-99.175587
JW Marriott Hotel México City,Andrés Bello 29,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.427194,-99.194876
JW Marriott México City Santa Fe,Avenida Santa Fe 160,Lomas de Santa Fe,Álvaro Obregón,1219,5 Estrellas,19.367158,-99.260439
Krystal Urban Aeropuerto CDMX,Avenida Javier Rojo Gómez 630,Leyes de Reforma primera sección,Iztapalapa,9310,5 Estrellas,19.383387,-99.075982
La Valise Hotel ,Tonalá 53,Roma Norte,Cuauhtémoc,6700,5 Estrellas,19.419016,-99.163033
Las Suites Polanco,Campos Elíseos 470,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.430412,-99.205471
Le Meridien México City,Paseo de la Reforma 69,Tabacalera,Cuauhtémoc,6030,5 Estrellas,19.433589,-99.154387
Live Aqua Mexico City & Spa,Avenida Paseo de los Tamarindos 98,Bosques de las Lomas,Cuajimalpa de Morelos,5120,5 Estrellas,19.386417,-99.252978
Living Céfiro by Stara,Céfiro 5,Pedregal del Maurel,Coyoacán,4530,5 Estrellas,19.307212,-99.180488
Marriott Reforma,Avenida Paseo de la Reforma 276,Cuauhtémoc,Cuauhtémoc,6600,5 Estrellas,19.428027,-99.164379
NH Collection México City Airport T2,Avenida Capitán Carlos León sin número,Zona Federal,Venustiano Carranza,15620,5 Estrellas,19.421421,-99.077187
Plaza Suites México City,Paseo de la Reforma 77,Tabacalera,Cuauhtémoc,6030,5 Estrellas,19.43365,-99.155115
Radisson Paraíso Hotel México D.F.,Cúspide 53,Parque del Pedregal,Tlalpan,14010,5 Estrellas,19.301852,-99.189568
Residence L'heritage,Tennyson 79,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.430509,-99.195116
Sheraton María Isabel Hotel & Towers,Paseo de la Reforma 325,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.42792,-99.167195
Sheraton Suites Santa Fe,Guillermo González Camarena 200,Santa Fe,Álvaro Obregón,1210,5 Estrellas,19.368405,-99.261211
Sleep Inn Ciudad de México,Carretera México - Toluca 5454,El Yaqui,Cuajimalpa de Morelos,5320,5 Estrellas,19.363099,-99.283086
St. Isidro Corporate Housing,San Isidro 63 ,Reforma Social,Miguel Hidalgo,11650,5 Estrellas,19.433771,-99.212654
Stara Boutique Hotels Hamburgo,Hamburgo 32,Juárez,Cuauhtémoc,6600,5 Estrellas,19.369136,-99.139586
Stara Boutique Hotels San Ángel Inn,Segunda cerrada de San Ángel Inn 4,Lomas de San Ángel Inn,Álvaro Obregón,1790,5 Estrellas,19.347091,-99.203952
Suites Amberes,Amberes 64,Juárez,Cuauhtémoc,6600,5 Estrellas,19.424783,-99.164729
Suites Contempo,Avenida Melchor Ocampo 455,Anzures,Miguel Hidalgo,11590,5 Estrellas,19.425136,-99.177003
Suites Coyoacán,Avenida Coyoacán 1909,Acacias,Benito Juárez,3240,5 Estrellas,19.36118,-99.17206
Suites Del Ángel,Río Lerma 162,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.428345,-99.169157
Suites Masliah,Ludovico Ariosto 16,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.429581,-99.200444
The Green Park Hotel,Constituyentes 99,San Miguel Chapultepec I sección,Miguel Hidalgo,11850,5 Estrellas,19.415177,-99.184978
The St. Regis México City,Paseo de la Reforma 439,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.42553,-99.172301
The Westin Santa Fe,Javier Barros Sierra  540,Lomas de Santa Fe,Álvaro Obregón,1219,5 Estrellas,19.36539,-99.258629
"Umbral, Curio Collection by Hilton",Calle Venustiano Carranza 69,Centro Histórico,Cuauhtémoc,6000,5 Estrellas,19.43121,-99.13571
Villa Condesa,Colima 428  ,Roma Norte,Cuauhtémoc,6700,5 Estrellas,19.41684,-99.172615
Villas Princess Hotel,Viaducto Río de la Piedad 367,La Cruz,Iztacalco,8310,5 Estrellas,19.402907,-99.130275
We México,Boulevard Puerto Aéreo 390,Moctezuma segunda sección,Venustiano Carranza,15530,5 Estrellas,19.433277,-99.08952
Basic Hotel,Sullivan 163 bis,San Rafael,Cuauhtémoc,6470,4 estrellas,19.435225,-99.166386
Casa de La Condesa,Plaza Luis Cabrera 16,Roma Sur,Cuauhtémoc,6760,4 Estrellas,19.416564,-99.158807
Casa de la Luz,Rinconada de Jesús,Centro,Cuauhtémoc,6000,4 Estrellas,19.4299403,-99.13293976
Círculo Condesa Hotel,Ometusco 7,Hipódromo,Cuauhtémoc,6170,4 Estrellas,19.409042,-99.172817
City Centro Ciudad de México,República de Uruguay 45,Centro Histórico,Cuauhtémoc,6000,4 Estrellas,19.43059,-99.137851
City Express Aeropuerto Ciudad de México,Boulevard Puerto Aéreo 90,Santa Cruz Aviación,Venustiano Carranza,15540,4 Estrellas,19.43316,-99.138372
City Express Alameda,Revillagigedo 23,Centro (Área 5),Cuauhtémoc,6050,4 Estrellas,19.433215,-99.146393
City Express Buenavista,Avenida Insurgentes Norte 226 ,Santa María la Ribera,Cuauhtémoc,6400,4 Estrellas,19.447595,-99.153442
City Express CDMX La Villa,Calzada de Guadalupe 236,Vallejo,Gustavo A. Madero,7870,4 Estrellas,19.463825,-99.125529
City Express CDMX Tlalpan,Calzada de Tlalpan 1561,Portales Sur,Benito Juárez,3300,4 Estrellas,19.3610404,-99.1434965
City Express Central de Abasto,Eje 6 sur 540,Central de Abasto,Iztapalapa,9040,4 Estrellas,19.368699,-99.099028
City Express EBC Reforma,Havre 21,Juárez,Cuauhtémoc,6600,4 Estrellas,19.427928,-99.162136
City Express Junior Ciudad de México Sullivan,Sullivan 35,San Rafael,Cuauhtémoc,6470,4 Estrellas,19.43341,-99.161068
City Express La Raza,Calzada Vallejo 296,San Francisco Xocotitla,Azcapotzalco,2960,4 Estrellas,19.468229,-99.144812
City Express Plus Insurgentes Sur,Avenida Insurgentes Sur 1581 ,San José Insurgentes,Benito Juárez,3900,4 Estrellas,19.364751,-99.182302
City Express Plus Patio Universidad,Avenida Popocatépetl 546,Xoco,Benito Juárez,3300,4 Estrellas,19.365564,-99.167001
City Express Plus Periférico Sur Tlalpan,Boulevard Adolfo Ruíz Cortines 4860,Guadalupe,Tlalpan,14388,4 Estrellas,19.285965,-99.147344
City Express Plus Reforma El Ángel,Paseo de la Reforma 334,Juárez,Cuauhtémoc,6600,4 Estrellas,19.426365,-99.166804
City Express Plus Santa Fe,Juan Salvador Agraz 71,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348,4 Estrellas,19.358532,-99.278512
City Suites Ciudad de México Santa Fe,Juan Salvador Agraz 69,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348,4 Estrellas,19.35884,-99.278724
Comfort Inn Santa Fe Bosques,Paseo de la Reforma 557,Paseo de las Lomas,Álvaro Obregón,1330,4 Estrellas,19.375205,-99.261631
Courtyard By Marriott México City Airport,Sinaloa 31,Peñón de los Baños,Venustiano Carranza,15520,4 Estrellas,19.436813,-99.082235
Fiesta Inn Insurgentes Sur,Mercaderes 20 ,San José Insurgentes ,Benito Juárez,3900,4 Estrellas,19.364413,-99.183068
Fiesta Inn Plaza Central Aeropuerto,Avenida canal Río Churubusco 1635,Central de Abasto,Iztapalapa,9040,4 Estrellas,19.378695,-99.095282
Flowsuites WTC,Avenida del Parque 24,Nápoles,Benito Juárez,3810,4 Estrellas,19.394909,-99.175905
Holiday Inn Express Aeropuerto CDMX,Avenida Río Churubusco 253,Granjas México,Iztacalco,8400,4 Estrellas,19.400549,-99.098938
Holiday Inn Express Hotel & Suites at The WTC,Dakota 95,Nápoles,Benito Juárez,3810,4 Estrellas,19.395653,-99.174739
Holiday Inn Express México Santa Fe,Guillermo González Camarena 1400,Santa Fe,Álvaro Obregón,1210,4 Estrellas,19.364243,-99.265174
Holiday Inn Express Santa Fe,Guillermo González Camarena 1400,Santa Fe,Álvaro Obregón,1210,4 Estrellas,19.364233,-99.265174
Hotel & Villas Franklin,Benjamín Franklin 76,Escandón I sección,Miguel Hidalgo,11800,4 Estrellas,19.405853,-99.18071
Hotel Abastos Plaza,Avenida Tezontle 133,Doctor Alfonso Ortiz Tirado,Iztapalapa,9020,4 Estrellas,19.382206,-99.078656
Hotel Ambos Mundos,Avenida Revolución 135,Tacubaya,Miguel Hidalgo,11870,4 Estrellas,19.402909,-99.184811
Hotel Andrade,Doctor Andrade 69,Doctores,Cuauhtémoc,6720,4 Estrellas,19.420802,-99.145871
Hotel Aspen,Avenida Vasco de Quiroga 1840,Tlapechico,Álvaro Obregón,1230,4 Estrellas,19.37963,-99.245162
Hotel Astor,Antonio Caso 83,San Rafael,Cuauhtémoc,6470,4 Estrellas,19.434752,-99.160169
Hotel Atenas Plaza,Calzada Ermita Iztapalapa 867,Santa Isabel Industrial,Iztapalapa,9820,4 Estrellas,19.355735,-99.104256
Hotel Bonn,18 de Julio 45,Escandón I sección,Miguel Hidalgo,11800,4 Estrellas,19.400053,-99.182473
Hotel Boston Plaza,Calzada de Tlalpan 3353,Pueblo de Santa Úrsula Coapa,Coyoacán,4650,4 Estrellas,19.305726,-99.144871
Hotel Boutique Jtower,Texas 17,Nápoles,Benito Juárez,3810,4 Estrellas,19.392873,-99.176652
Hotel Bristol,Plaza Necaxa 17,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.431325,-99.166978
Hotel Caban,Guadalupe I. Ramírez 578,Tierra Nueva,Xochimilco,16050,4 Estrellas,19.267693,-99.123019
Hotel California,Avenida Baja California 7,Roma Sur,Cuauhtémoc,6760,4 Estrellas,19.407027,-99.155808
Hotel Camino Plaza,Calzada Ermita Iztapalapa 3419,Santa María Aztahuacan,Iztapalapa,9500,4 Estrellas,19.348635,-99.018166
Hotel Campo Real,Prolongación División del Norte 5171,Potrero de San Bernardino,Xochimilco,16030,4 Estrellas,19.272598,-99.119557
Hotel Canceleira,Calzada Ignacio Zaragoza 2811,Santa Martha Acatitla,Iztapalapa,9510,4 Estrellas,19.368349,-99.010904
Hotel Carlota,Río Amazonas 73,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.430585,-99.163398
Hotel Catedral,Donceles 95,Centro (Área 3),Cuauhtémoc,6020,4 Estrellas,19.435836,-99.133135
Hotel CLE,Nápoles 62,Juárez,Cuauhtémoc,6600,4 Estrellas,19.426025,-99.159463
Hotel Colins,Calzada Ignacio Zaragoza 2498,Santa Martha Acatitla,Iztapalapa,9510,4 Estrellas,19.377029,-99.020663
Hotel Condesa,Calzada de Tlalpan 911,Josefa Ortiz de Domínguez,Benito Juárez,3430,4 Estrellas,19.38704,-99.139636
Hotel Coral,Calzada de la Viga 275,Ampliación Asturias,Cuauhtémoc,6890,4 Estrellas,19.407637,-99.126335
Hotel Corinto,Vallarta 24,Tabacalera,Cuauhtémoc,6030,4 Estrellas,19.434457,-99.155602
Hotel Costa del Sol,Carretera federal a Cuernavaca 5101,Chimalcoyotl,Tlalpan,14630,4 Estrellas,19.276428,-99.167415
Hotel Del Ángel,Río Lerma 154,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.428442,-99.168791
Hotel Del Bosque,Melchor Ocampo 323,Nueva Anzures,Miguel Hidalgo,11590,4 Estrellas,19.431485,-99.173341
Hotel El Diplomático,Avenida Insurgentes Sur 1105,Nochebuena,Benito Juárez,3720,4 Estrellas,19.380598,-99.177135
Hotel El Ejecutivo,Viena 8,Juárez,Cuauhtémoc,6600,4 Estrellas,19.430792,-99.157346
Hotel Escandón by Kali,José Martí 178,Escandón I sección,Miguel Hidalgo,11800,4 Estrellas,19.401972,-99.177543
Hotel Estoril ,Luis Moya 93,Centro (Área 7),Cuauhtémoc,6070,4 Estrellas,19.428925,-99.145896
Hotel Exe Cities Reforma,Roma 40,Juárez,Cuauhtémoc,6000,4 Estrellas,19.429715,-99.158939
Hotel Fiesta Inn Aeropuerto,Boulevard Puerto Aéreo 502,Moctezuma segunda sección,Venustiano Carranza,15530,4 Estrellas,19.435172,-99.089034
Hotel Fiesta Inn Centro Histórico,Avenida Juárez 76,Centro (Área 2),Cuauhtémoc,6010,4 Estrellas,19.434725,-99.147026
Hotel Fontán Reforma,Paseo de la Reforma 24,Centro (Área 4),Cuauhtémoc,6040,4 Estrellas,19.436303,-99.1477
Hotel Gillow,Isabel la Católica 17,Centro (Área 1),Cuauhtémoc,6000,4 Estrellas,19.434029,-99.136244
Hotel Gran Sol,Avenida 1 de Mayo 10,Tacubaya,Miguel Hidalgo,11870,4 Estrellas,19.3982,-99.18567
Hotel Grand Prix,Calzada Río Churubusco 200 esquina Añil,Granjas México,Iztacalco,8400,4 Estrellas,19.402384,-99.097525
Hotel Harare,Calzada de Tlalpan 877,Josefa Ortiz de Domínguez,Benito Juárez,3430,4 Estrellas,19.388175,-99.139291
Hotel Histórico Central,Simón Bolívar 28,Centro (Área 1),Cuauhtémoc,6000,4 Estrellas,19.43316,-99.138372
Hotel Inn Sur,Avenida Insurgentes Sur 4265,Santa Úrsula Xitla,Tlalpan,14420,4 Estrellas,19.281266,-99.172677
Hotel Lisboa,Avenida Cuauhtémoc 273,Roma Norte,Cuauhtémoc,6700,4 Estrellas,19.412185,-99.15511
Hotel Lord,Doctor Velasco 17,Doctores,Cuauhtémoc,6720,4 Estrellas,19.419152,-99.145251
Hotel Majestic Best Western,Francisco I. Madero 73,Centro (Área 1),Cuauhtémoc,6000,4 Estrellas,19.433006,-99.134423
Hotel Marbella,Frontera 205,Roma Norte,Cuauhtémoc,6700,4 Estrellas,19.414734,-99.155085
Hotel María Cristina,Río Lerma 31,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.431644,-99.163342
Hotel Metropol,Luis Moya 39,Centro (Área 5),Cuauhtémoc,6050,4 Estrellas,19.432883,-99.145173
Hotel Mónaco,Eje Guerrero 12,Buenavista,Cuauhtémoc,6350,4 Estrellas,19.438722,-99.149148
Hotel Montreal,Calzada de Tlalpan 2073,Parque San Andrés,Coyoacán,4040,4 Estrellas,19.343863,-99.144742
Hotel MX forum buenavista,Eje Mosqueta 259,Buenavista,Cuauhtémoc,6350,4 Estrellas,19.44916,-99.1521204
Hotel MX Garibaldi,Honduras 11,Centro (Área 2),Cuauhtémoc,6010,4 Estrellas,19.44075,-99.137903
Hotel Naciones,Calzada Vallejo 255,Vallejo Poniente,Gustavo A. Madero,7790,4 Estrellas,19.466826,-99.143309
Hotel NH Collection México City Reforma,Liverpool 155,Juárez,Cuauhtémoc,6600,4 Estrellas,19.424151,-99.165004
Hotel NH México City Centro Histórico,Palma 42,Centro (Área 1),Cuauhtémoc,6000,4 Estrellas,19.431649,-99.135419
Hotel Novotel México Santa Fe,Antonio Dovali Jaime 75,Santa Fe,Álvaro Obregón,1210,4 Estrellas,19.366914,-99.26013
Hotel Oslo,Eje central Lázaro Cárdenas 337,Buenos Aires,Cuauhtémoc,6780,4 Estrellas,19.404215,-99.145503
Hotel Parador Real,Calzada de Tlalpan 1289,Portales Sur,Benito Juárez,3300,4 Estrellas,19.370084,-99.14201
Hotel Park Villa,General Gómez Pedraza 68,San Miguel Chapultepec I sección,Miguel Hidalgo,11850,4 Estrellas,19.414687,-99.184638
Hotel Pasadena Drive Inn,Avenida Revolución 826,Mixcoac,Benito Juárez,3910,4 Estrellas,19.377857,-99.186755
Hotel Plaza Belices,Antonio Caso 207,San Rafael,Cuauhtémoc,6470,4 Estrellas,19.436321,-99.168716
Hotel Plaza Florencia,Florencia 61,Juárez,Cuauhtémoc,6600,4 Estrellas,19.423976,-99.165984
Hotel Plaza Luar,Avenida Melchor Ocampo 336,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.430464,-99.172952
Hotel Plaza Madrid,Madrid 15,Tabacalera,Cuauhtémoc,6030,4 Estrellas,19.433612,-99.156718
Hotel Plaza Revolución,Jesús Terán 35,Tabacalera,Cuauhtémoc,6030,4 Estrellas,19.43631,-99.151067
Hotel Reforma Avenue,Donato Guerra 24,Juárez,Cuauhtémoc,6600,4 Estrellas,19.43355,-99.152703
Hotel Regente City,París 9,Tabacalera,Cuauhtémoc,6030,4 Estrellas,19.433499,-99.157692
Hotel Riazor,Viaducto Río de la Piedad 297,La Cruz,Iztacalco,8310,4 Estrellas,19.405213,-99.118538
Hotel Ritz,Francisco I. Madero 30,Centro (Área 1),Cuauhtémoc,6000,4 Estrellas,19.43391,-99.137879
Hotel Room Mate Valentina,Amberes 27,Juárez,Cuauhtémoc,6600,4 Estrellas,19.426065,-99.165769
Hotel Samil Plaza,Calzada de Guadalupe 54,ExHipódromo de Peralvillo,Cuauhtémoc,6250,4 Estrellas,19.456155,-99.129078
Hotel San Francisco,Luis Moya 11,Centro (Área 5),Cuauhtémoc,6050,4 Estrellas,19.434224,-99.145017
Hotel Segovia Regency,Avenida Chapultepec 328,Roma Norte,Cuauhtémoc,6700,4 Estrellas,19.423049,-99.164419
Hotel Sevilla,Serapio Rendón 124,San Rafael,Cuauhtémoc,6470,4 Estrellas,19.433115,-99.160821
Hotel Siesta del Sur,Avenida Tláhuac 5393,Los Olivos,Tláhuac,13210,4 Estrellas,19.303647,-99.05837
Hotel Stella Maris,Avenida Sullivan 69,San Rafael,Cuauhtémoc,6470,4 Estrellas,19.433791,-99.162354
Hotel Templo Mayor,Del Carmen 26,Centro (Área 2),Cuauhtémoc,6010,4 Estrellas,19.436283,-99.129624
Hotel Torremolinos,Avenida Cuitláhuac 339,ProHogar,Azcapotzalco,2600,4 Estrellas,19.473841,-99.158727
Hotel Tryp World Trade Center,Viaducto Miguel Alemán 14,Nápoles,Benito Juárez,3810,4 Estrellas,19.399146,-99.171266
Hotel Vermont,Vermont 29,Nápoles,Benito Juárez,3810,4 Estrellas,19.397775,-99.172645
Hotel Viaducto,Calle 1° de Mayo 4,La Cruz,Iztacalco,8310,4 Estrellas,19.405382,-99.116834
Hotel y Villas Pal,Avenida Arcos de Belén 73,Centro (Área 7),Cuauhtémoc,6070,4 Estrellas,19.427495,-99.147943
Laila Hotel CDMX,Río Lerma 237,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.426924,-99.17237
Motel Porto Sol,Eje 5 Sur 72,Paseos de Churubusco,Iztapalapa,9030,4 Estrellas,19.38527,-99.181652
Motel Real La Viga,Lorenzo Boturini 372,Lorenzo Boturini,Venustiano Carranza,15820,4 Estrellas,19.417661,-99.12689
NH Collection Santa Fe,Juan Salvador Agraz 44,Lomas de Vista Hermosa,Cuajimalpa de Morelos,5110,4 Estrellas,19.359824,-99.278316
Nuevo Hotel Tijuana,Ramos Millán 9,Niños Héroes,Benito Juárez,3440,4 Estrellas,19.383252,-99.140207
Porto Novo Hotel & Suites,Viaducto Miguel Alemán 645,Piedad Narvarte,Benito Juárez,3000,4 Estrellas,19.40283,-99.159417
Posada Viena Hotel,Marsella 28,Juárez,Cuauhtémoc,6600,4 Estrellas,19.426053,-99.157575
Ramada Reforma,Jesús Terán 12,Tabacalera,Cuauhtémoc,6030,4 Estrellas,19.437632,-99.15045
Real Azteca,Calzada de Tlalpan 3441,Pueblo de Santa Úrsula Coapa,Coyoacán,4650,4 Estrellas,19.303331,-99.146614
Sofitel Mexico City Reforma,Avenida Paseo de la Reforma 297,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.428487,-99.165911
Stanza Hotel,Avenida Álvaro Obregón 13,Roma Norte,Cuauhtémoc,6700,4 Estrellas,19.419515,-99.155183
Suites Capri Colonia Roma,Sinaloa 124,Roma Norte,Cuauhtémoc,6700,4 Estrellas,19.420121,-99.169317
Suites Capri Reforma,Avenida Paseo de la Reforma 410,Juárez,Cuauhtémoc,6600,4 Estrellas,19.424994,-99.170849
Suites Capri Sevilla,Sevilla 34,Juárez,Cuauhtémoc,6600,4 Estrellas,19.422976,-99.170502
Suites Ganges,Río Ganges 32,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.429346,-99.172807
Suites Georgio,Río Lerma 166,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.428145,-99.169134
Suites Parioli,Río Po 108,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.429895,-99.168262
Suites San Marco,Río Po 125,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.429297,-99.168096
Tacubaya Hotel y Auto Suites,Viaducto Miguel Alemán 29,Tacubaya,Miguel Hidalgo,11870,4 Estrellas,19.400021,-99.187765
Wyndham Garden México City Polanco,León Tolstoi 22,Nueva Anzures,Miguel Hidalgo,11590,4 Estrellas,19.424972,-99.177638
Wyndham Garden Residences México City,Río Ebro 84,Cuauhtémoc,Cuauhtémoc,6500,4 Estrellas,19.428944,-99.169384
Amueblados Minc Centro,Pedro Baranda 8,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.436445,-99.15185
Apartamentos Amueblados Alzate,José Antonio Álzate 10,Santa María la Ribera,Cuauhtémoc,6400,3 Estrellas,19.446274,-99.153838
Auto Hotel Max,Fernando de Alva Ixtlixochitl 23,Obrera,Cuauhtémoc,6800,3 Estrellas,19.419825,-99.142439
