anio,fecha,ambito,gasto,temporal_fecha,..anio_fecha
2015,2015-08-31,Internacional,3516.4384534137603,2015-08,2015
2015,2015-09-30,Nacional,2913.436653268618,2015-09,2015
2015,2015-09-30,Internacional,3153.05838052944,2015-09,2015
2015,2015-10-31,Nacional,3237.6174034492165,2015-10,2015
2015,2015-10-31,Internacional,3400.7043441490805,2015-10,2015
2015,2015-11-30,Nacional,3135.8668124277096,2015-11,2015
2015,2015-11-30,Internacional,3226.762159859448,2015-11,2015
2015,2015-12-31,Nacional,2979.357962325704,2015-12,2015
2015,2015-12-31,Internacional,3667.72545145149,2015-12,2015
2016,2016-01-31,Nacional,2526.251811322493,2016-01,2016
2016,2016-01-31,Internacional,3402.458510911952,2016-01,2016
2016,2016-02-29,Nacional,2528.4349632956396,2016-02,2016
2016,2016-02-29,Internacional,3235.0948366282355,2016-02,2016
2016,2016-03-31,Nacional,3442.158874729467,2016-03,2016
2016,2016-03-31,Internacional,4041.6562747033204,2016-03,2016
2016,2016-04-30,Nacional,3304.068769304661,2016-04,2016
2016,2016-04-30,Internacional,3599.7458333239783,2016-04,2016
2016,2016-05-31,Nacional,2828.567904672084,2016-05,2016
2016,2016-05-31,Internacional,4303.919668946075,2016-05,2016
2016,2016-06-30,Nacional,2746.018950856768,2016-06,2016
2016,2016-06-30,Internacional,4153.39939367004,2016-06,2016
2016,2016-07-31,Nacional,3285.7818079524277,2016-07,2016
2016,2016-07-31,Internacional,4799.739027937152,2016-07,2016
2016,2016-08-31,Nacional,3016.0920275336575,2016-08,2016
2016,2016-08-31,Internacional,5037.228913393783,2016-08,2016
2016,2016-09-30,Nacional,3378.167747314859,2016-09,2016
2016,2016-09-30,Internacional,4660.262547127908,2016-09,2016
2016,2016-10-31,Nacional,3581.6109257212793,2016-10,2016
2016,2016-10-31,Internacional,5429.447331802675,2016-10,2016
2016,2016-11-30,Nacional,3709.394124824245,2016-11,2016
2016,2016-11-30,Internacional,4865.818709982679,2016-11,2016
2016,2016-12-31,Nacional,3312.0037074656952,2016-12,2016
2016,2016-12-31,Internacional,4835.7412195938305,2016-12,2016
2017,2017-01-31,Nacional,2700.835736667411,2017-01,2017
2017,2017-01-31,Internacional,4310.625574749696,2017-01,2017
2017,2017-02-28,Nacional,2640.3081574882062,2017-02,2017
2017,2017-02-28,Internacional,3806.3455493507104,2017-02,2017
2017,2017-03-31,Nacional,3447.1166764544732,2017-03,2017
2017,2017-03-31,Internacional,4569.33528514431,2017-03,2017
2017,2017-04-30,Nacional,3664.561868776153,2017-04,2017
2017,2017-04-30,Internacional,3849.019020378293,2017-04,2017
2017,2017-05-31,Nacional,3307.548231237323,2017-05,2017
2017,2017-05-31,Internacional,4232.7091189837265,2017-05,2017
2017,2017-06-30,Nacional,3007.301623670371,2017-06,2017
2017,2017-06-30,Internacional,3882.4430862020467,2017-06,2017
2017,2017-07-31,Nacional,3569.836623275209,2017-07,2017
2017,2017-07-31,Internacional,4374.730877861097,2017-07,2017
2017,2017-08-31,Nacional,3320.100780352302,2017-08,2017
2017,2017-08-31,Internacional,5120.155454565525,2017-08,2017
2017,2017-09-30,Nacional,3467.9758835986,2017-09,2017
2017,2017-09-30,Internacional,4260.841688963346,2017-09,2017
2017,2017-10-31,Nacional,3662.921744971499,2017-10,2017
2017,2017-10-31,Internacional,5298.800923546718,2017-10,2017
2017,2017-11-30,Nacional,3845.820499686501,2017-11,2017
2017,2017-11-30,Internacional,4795.974709236873,2017-11,2017
2017,2017-12-31,Nacional,3474.661729805486,2017-12,2017
2017,2017-12-31,Internacional,4581.485089666647,2017-12,2017
2018,2018-01-31,Nacional,2820.0824491729036,2018-01,2018
2018,2018-01-31,Internacional,3628.41101770532,2018-01,2018
2018,2018-02-28,Nacional,2765.438950353227,2018-02,2018
2018,2018-02-28,Internacional,3477.854006199992,2018-02,2018
2018,2018-03-31,Nacional,3669.044585935462,2018-03,2018
2018,2018-03-31,Internacional,4623.690431291579,2018-03,2018
2018,2018-04-30,Nacional,3792.570207873637,2018-04,2018
2018,2018-04-30,Internacional,3744.2591112775685,2018-04,2018
2018,2018-05-31,Nacional,3466.266604394515,2018-05,2018
