Categoría,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción de capa,Etiqueta del campo o variable,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos ,Tipo de archivo:
"Desarrollo Urbano, Vivienda y Territorio",Principales_corredores_ec,Principales corredores económicos en la Ciudad de México,"Contiene la ubicación de la avenida Insurgentes y Paseo de la Reforma, considerando a ambas como vialidades principales, enblemáticas y grandes corredores económicos en la Ciudad de México",ID,Identificador asignado de forma aleatoria,Número entero,Número consecutivo,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Principales_corredores_ec,Principales corredores económicos en la Ciudad de México,"Contiene la ubicación de la avenida Insurgentes y Paseo de la Reforma, considerando a ambas como vialidades principales, enblemáticas y grandes corredores económicos en la Ciudad de México",Nombre,Nombre,Alfanumérico,Texto,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Principales_corredores_ec,Principales corredores económicos en la Ciudad de México,"Contiene la ubicación de la avenida Insurgentes y Paseo de la Reforma, considerando a ambas como vialidades principales, enblemáticas y grandes corredores económicos en la Ciudad de México",Shape_Leng,Longitud,Número con decimales ,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
