Clave Subsistemas Nacionales de Información,Subsistemas Nacionales de Información,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción del conjunto de datos,Clave de campo,Descripción de Campo,Tipo de dato,Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos,Tipo de archivo
3,Ordenamiento territorial,concentracion_equipa,Concentración de equipamientos,Concentración de equipamientos,OBJECTID,Identificador,Número entero,1 a 5,Pública,,Obligatorio,,Shape (.shp)
3,Ordenamiento territorial,concentracion_equipa,Concentración de equipamientos,Concentración de equipamientos,RANGO,Rango de concentración de equipamiento,Alfanumérico,"1 = Muy bajo
2 = Bajo
3 = Medio
4 = Alto
5 = Muy alto",Pública,Densidad de puntos por km2,Obligatorio,,Shape (.shp)
